# GLOSSARIO.lock — tabela NORMATIVA de termos (fonte unica da verdade)
#
# Este arquivo manda. O GLOSSARIO.md explica; este aqui e' aplicado por
# tools/enforce_glossary.py e verificado por tools/qa_check.py no build.
#
# Regra de ouro: o gatilho e' o RUSSO de origem, nunca o portugues.
# Isso evita corromper substantivos comuns homografos (ex.: «коробки» =
# caixas literais, que NAO sao o Короб/Termitario).
#
# Colunas (TAB):
#   canonico     termo pt-BR obrigatorio
#   gen_num      genero/numero do canonico: ms|fs|mp|fp|inv (inv = nome proprio sem artigo)
#   gatilho_ru   regex case-sensitive aplicada ao campo "ru" da linha de origem
#   proibidos    variantes a substituir, separadas por ';' — formato variante:gen_num
#   nota         justificativa da decisao
#
canonico	gen_num	gatilho_ru	proibidos	nota	ru_display
Suindara	inv	\bСыч(?:а|у|ом|е)?\b	Sych:inv	NOVA ENTRADA. Suplicante (id 17671.0). Сыч = mocho pequeno (Athene noctua); «сидеть сычом» em russo e' viver ensimesmado. Suindara (Tyto alba) e' a coruja branca de torre, nome tupi conhecido, com o mesmo ar de solitario. Preferida a 'Caburé' para nao ficar quase homofona de 'Cauré' (Чеглок).	Сыч
Cauré	inv	\bЧеглок(?:а|у|ом|е)?\b	Cheglok:inv	NOVA ENTRADA. Suplicante (id 26500.0). Чеглок = ógea (Falco subbuteo), falcao pequeno que caca andorinhoes ao crepusculo. Cauré (Falco rufigularis) e' o gemeo ecologico brasileiro. NAO confundir com 'Caburé' — ver a linha 'Suindara'.	Чеглок
Graúna	inv	\bИволг(?:а|и|е|у|ой)\b	Oriole:inv;Ivolga:inv	NOVA ENTRADA. Suplicante MULHER (id 54741.0, a Zoya; russo «просительница»). Иволга = papa-figos (Oriolus oriolus); 'Oriole' era ingles cru. Graúna (Gnorimopsar chopi) e' icteridea — a familia que no Novo Mundo herdou o nome 'oriole' —, e' ave cantora celebre na poesia brasileira, e' substantivo feminino e funciona como nome de mulher no Brasil. Perde-se o dourado do original; ganha-se um apelido feminino brasileiro de verdade, conforme a regra de ouro.	Иволга
Gaivota	inv	просительница Чайка|\bЧайк(?:и|е|у|ой)\b	Chayka:inv	NOVA ENTRADA. Suplicante MULHER (id 55167.0, a Tamara). Чайка = gaivota: traducao direta, feminina, brasileira e perfeita como apelido de mulher. ATENCAO DE MANUTENCAO — auditado na revisao: o gatilho EXCLUI de proposito o nominativo solto «Чайка». Varri o corpus inteiro por «Чайк*» e existem exatamente quatro contextos: 17738.1 «О. Чайка» (SOBRENOME no cartaz do teatro, segue transliterado 'O. Chayka'), 32992.2 «Чайком» (= chazinho, instrumental de «чаёк», maiusculo por inicio de frase), 45045.0/3/12 «Чайкин» (outro sobrenome) e esta ficha. Nenhum dos tres primeiros e' alcancado pelo gatilho. Na pratica a regra e' puramente defensiva: os casos obliquos Чайки/Чайке/Чайку/Чайкой nao ocorrem no corpus.	Чайка
Araçari	inv	проситель Тупик|отец, Тупик|— Тупик|\bТупик(?:а|у|ом)\b	Beco sem Saída:fs;Beco:ms	NOVA ENTRADA — CORRIGE ERRO. Suplicante (id 48983.0, o Nikita) e personagem falado em 13 linhas de Day03_03b/Day04_03b. «Тупик» e' homografo: 'beco sem saida' E papagaio-do-mar (puffin); o EN confirma 'visitor Puffin', e todos os demais suplicantes sao aves. Araçari (Pteroglossus) e' o tucano pequeno brasileiro, de bico enorme e colorido como o do puffin; evitado 'Tucano' pela leitura politica automatica em pt-BR. PERIGO DE MANUTENCAO — LEIA ANTES DE MEXER: «Тупик» tambem e' o rotulo de interface 'Beco Sem Saída'. Contagem feita na revisao sobre o workbook: 21 ocorrencias no nominativo (5830.0, 8674.1, 17437.0, 26264.0, 29809.0, 49386.0, 69359.0, 74912.0, 75162.0 e as falas), 3 de «Тупика», 3 de «Тупику», 3 de «Тупики». Simulei o gatilho: ele dispara em exatamente 13 ids, TODOS da personagem (28556.3, 32585.10, 32585.14, 32585.16, 32585.19, 48983.0, 52311.3, 58136.1, 61103.1, 61894.27, 61894.28, 61894.38, 63052.1) — nenhum rotulo de beco entra. EM COMPENSACAO, tres falas ficam FORA do alcance da ferramenta por usarem so o nominativo (32585.11, 32585.14 na primeira ocorrencia, 32585.26): foram corrigidas a mao pelos patches P25, P26 e P29 e qualquer retraducao futura dessas linhas precisa ser conferida a olho. A ordem dos proibidos importa: 'Beco sem Saída' vem ANTES de 'Beco' para nao produzir 'Araçari sem Saída'.	Тупик
Casco	inv	\bКопыт(?:о|а|у|ом|е)\b	Kopyto:inv	NOVA ENTRADA — alinhamento, nao batismo. Копыто NAO e' ave: e' 'casco' (de animal), apelido do Semyon Golev, e a nossa traducao ja usa 'Casco' nas falas (16614.18/19/21, 35173.18/19/21, 77952.1). So o rotulo do NPC (id 25908.0) tinha ficado transliterado. O gatilho exige К MAIUSCULO; verificado na revisao que todas as ocorrencias maiusculas de «Копыт*» no corpus sao a personagem, e que o substantivo comum «копытом» (ex.: id 22978.17, 'que Boddho me pise com o casco') aparece so em minuscula.	Копыто
Codorniz	inv	\bКоростел(?:ь|я|ю|ем|е)\b	Korostel:inv	NOVA ENTRADA — alinhamento. Коростель = codornizao (Crex crex). A nossa traducao ja o chama 'Codorniz' no dialogo (22138.0 e 22138.2, com artigo masculino: 'Lembra do Codorniz?'), e mantem-se a forma majoritaria em vez de introduzir um terceiro termo. Zoologicamente codorniz e' Coturnix e nao Crex, mas e' apelido brasileiro legivel e ja consolidado no corpus; alternativa descartada: 'Saracura', ja usada para Погоныш.	Коростель
Biguá	inv	\bГагарк(?:а|и|е|у|ой)\b	Auk:inv	NOVA ENTRADA. Suplicante achado fora da lista original (id 31940.0, Npcs.Platon.Name): campo russo NULO no workbook, ingles 'visitor Auk' vazando cru para o pt. Auk = alcideo mergulhador (russo «гагарка»); Biguá (Nannopterum brasilianum) e' a ave mergulhadora brasileira equivalente. AVISO: confirmado na revisao que «Гагарка» NAO aparece uma unica vez no russo do corpus e que o russo deste id e' nulo — a regra de duas chaves nunca disparara aqui. O gatilho e' so seguro para o futuro; a correcao depende inteiramente do patch direto P39.	Гагарка (ru ausente no workbook; EN 'Auk')

o Abutre	ms	[Гг]риф(?:а|у|ом|е|ов)?\b|[Гг]рифов\w*	Bad Grief:ms;Grief:ms	ALINHADO AO PATHOLOGIC 2 pt-BR. «Гриф» quer dizer ABUTRE em russo. "Bad Grief" era trocadilho da localizacao inglesa (good grief / griffon). 'Bad Grief' vem antes de 'Grief' na lista de proibidos porque contem a outra.	Гриф
o Arúspice	ms	[Гг]аруспик(?:а|у|ом|е)?	Haruspex:ms	ALINHADO AO PATHOLOGIC 2 pt-BR. «Гаруспик» tem palavra exata em portugues: arúspice, o adivinho que le' visceras. "Haruspex" era o latim via ingles.	Гаруспик
a Peste Arenosa	fs	[Пп]есчанк\w*|[Пп]ес(?:чан|очн)\w*\s+[Яя]зв\w*|\b[Чч]ум[аыуе]\b	Peste de Areia:fs;Peste da Areia:fs;peste de areia:fs;peste da areia:fs;Praga da Areia:fs;Praga de Areia:fs;praga de areia:fs;praga da areia:fs	ALINHADO AO PATHOLOGIC 2 pt-BR. AMOSTRA FRACA: o 2 usa a forma so' 9 vezes, contra 261 nossas da forma antiga — adotado por decisao do usuario de seguir o 2 nos empates. Ver tambem «Песчаная язва», termo russo DIFERENTE que a nossa traducao vinha fundindo com este.	Песчанка
o Andorinhão	ms	\bСтриж(?:а|у|ом|е|и)?\b	Swift:ms;Andorinha:fs	Apelido de passaro de crianca da tribo, colega da Gralha. Mesma situacao: correto, mas sem linha propria ate agora. "Swift" e o nome na versao inglesa.	Стриж
a Gralha	fs	\bГалк(?:а|и|е|у|ой)\b	Jackdaw:fs;Gralha-de-nuca-cinzenta:fs	Apelido de passaro de crianca. Estava CORRETO desde sempre mas so existia como mencao na nota da Mandarina, sem linha propria — a varredura nao o protegia. Nao confundir com Сойка (a Saira), Лунь (a Perdiz) nem Грач (o Anu): quatro passaros diferentes que ja foram traduzidos todos como "Gralha" por engano.	Галка
